source,number,answer,image_status,explanation_quality,note
M119 呼吸區段考,3,3,圖片缺失,已精修詳解,原題需看氣管食道瘻管圖，網站目前缺原圖。
M119 呼吸區段考,37,1,非圖片題,已精修詳解,使用者校正：M119 第37題答案為 10（網站選項 key=1）。
M119 呼吸區段考,38,4,非圖片題,已精修詳解,使用者校正：M119 第38題答案為 4。
M118 呼吸區段考,32,E,圖片缺失,已精修詳解,題幹或選項提到原圖，網站目前未收錄原圖。
M118 呼吸區段考,33,C,圖片缺失,已精修詳解,原題需參考 Fig.1／Davenport 圖或酸鹼圖，網站目前缺原圖。
M118 呼吸區段考,34,D,圖片缺失,已精修詳解,原題選項為圖像／公式排版，網站目前只有 A-D 佔位，需回原圖確認。
M117 呼吸區段考,35,B,圖片缺失,已精修詳解,題幹或選項提到原圖，網站目前未收錄原圖。
M122 呼吸區段考,24,A,非圖片題,已精修詳解,使用者校正：M122 第24題答案為 A。
M122 呼吸區段考,31,D,非圖片題,已精修詳解,使用者校正：M122 第31題答案為 D。
國考題 病理,101-1 第99題,C,圖片缺失,國考簡版詳解,題幹或選項提到原圖，網站目前未收錄原圖。
國考題 病理,102-1 第98題,C,圖片缺失,國考簡版詳解,題幹或選項提到原圖，網站目前未收錄原圖。
國考題 病理,106-2 第99題,B,圖片缺失,國考簡版詳解,題幹或選項提到原圖，網站目前未收錄原圖。
M113 呼吸系統區段考,1,D,非圖片題,已精修詳解,
M113 呼吸系統區段考,2,B,非圖片題,已精修詳解,
M113 呼吸系統區段考,3,B,非圖片題,已精修詳解,
M113 呼吸系統區段考,4,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,5,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,6,B,非圖片題,已精修詳解,
M113 呼吸系統區段考,7,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,8,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,9,B,非圖片題,已精修詳解,
M113 呼吸系統區段考,10,D,非圖片題,已精修詳解,
M113 呼吸系統區段考,11,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,12,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,13,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,14,D,非圖片題,已精修詳解,
M113 呼吸系統區段考,15,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,16,D,非圖片題,已精修詳解,
M113 呼吸系統區段考,17,C,非圖片題,已精修詳解,
M113 呼吸系統區段考,18,B,非圖片題,已精修詳解,
M113 呼吸系統區段考,19,B,非圖片題,已精修詳解,
M113 呼吸系統區段考,20,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,21,B,圖片缺失,已精修詳解,原題需參考 oxygen equilibrium curve 圖，網站目前缺原圖。
M113 呼吸系統區段考,22,E,非圖片題,已精修詳解,
M113 呼吸系統區段考,23,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,24,C,非圖片題,已精修詳解,
M113 呼吸系統區段考,25,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,26,C,圖片缺失,已精修詳解,原題需參考 Davenport diagram，網站目前缺原圖。
M113 呼吸系統區段考,27,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,28,D,非圖片題,已精修詳解,
M113 呼吸系統區段考,29,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,30,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,31,C,非圖片題,已精修詳解,
M113 呼吸系統區段考,32,B,非圖片題,已精修詳解,
M113 呼吸系統區段考,33,D,非圖片題,已精修詳解,
M113 呼吸系統區段考,34,C,非圖片題,已精修詳解,
M113 呼吸系統區段考,35,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,36,A,非圖片題,已精修詳解,
M113 呼吸系統區段考,37,D,非圖片題,已精修詳解,
M113 呼吸系統區段考,38,C,非圖片題,已精修詳解,
M113 呼吸系統區段考,39,B,非圖片題,已精修詳解,
M113 呼吸系統區段考,40,C,非圖片題,已精修詳解,
M121 呼吸區段考,1,A,非圖片題,已精修詳解,
M121 呼吸區段考,2,D,非圖片題,已精修詳解,
M121 呼吸區段考,3,B,非圖片題,已精修詳解,
M121 呼吸區段考,4,A,非圖片題,已精修詳解,
M121 呼吸區段考,5,B,非圖片題,已精修詳解,
M121 呼吸區段考,6,C,非圖片題,已精修詳解,
M121 呼吸區段考,7,D,非圖片題,已精修詳解,
M121 呼吸區段考,8,D,非圖片題,已精修詳解,
M121 呼吸區段考,9,D,非圖片題,已精修詳解,
M121 呼吸區段考,10,B,非圖片題,已精修詳解,
M121 呼吸區段考,11,C,非圖片題,已精修詳解,
M121 呼吸區段考,12,D,非圖片題,已精修詳解,
M121 呼吸區段考,13,C,非圖片題,已精修詳解,
M121 呼吸區段考,14,A,非圖片題,已精修詳解,
M121 呼吸區段考,15,D,非圖片題,已精修詳解,
M121 呼吸區段考,16,B,非圖片題,已精修詳解,
M121 呼吸區段考,17,C,非圖片題,已精修詳解,
M121 呼吸區段考,18,B,非圖片題,已精修詳解,
M121 呼吸區段考,19,A,非圖片題,已精修詳解,
M121 呼吸區段考,20,B,非圖片題,已精修詳解,
M121 呼吸區段考,21,A,非圖片題,已精修詳解,
M121 呼吸區段考,22,D,非圖片題,已精修詳解,
M121 呼吸區段考,23,A,非圖片題,已精修詳解,
M121 呼吸區段考,24,C,非圖片題,已精修詳解,
M121 呼吸區段考,25,C,非圖片題,已精修詳解,
M121 呼吸區段考,26,C,非圖片題,已精修詳解,
M121 呼吸區段考,27,D,非圖片題,已精修詳解,
M121 呼吸區段考,28,C,非圖片題,已精修詳解,
M121 呼吸區段考,29,C,非圖片題,已精修詳解,
M121 呼吸區段考,30,A,非圖片題,已精修詳解,
M121 呼吸區段考,31,C,非圖片題,已精修詳解,
M121 呼吸區段考,32,B,非圖片題,已精修詳解,
M121 呼吸區段考,33,A,非圖片題,已精修詳解,
M121 呼吸區段考,34,D,非圖片題,已精修詳解,
M121 呼吸區段考,35,D,非圖片題,已精修詳解,
M121 呼吸區段考,36,B,非圖片題,已精修詳解,
M121 呼吸區段考,37,B,非圖片題,已精修詳解,
M121 呼吸區段考,38,A,非圖片題,已精修詳解,
M121 呼吸區段考,39,A,非圖片題,已精修詳解,
M121 呼吸區段考,40,D,非圖片題,已精修詳解,
M121 呼吸區段考,41,D,非圖片題,已精修詳解,
M121 呼吸區段考,42,C,非圖片題,已精修詳解,
M121 呼吸區段考,43,A,非圖片題,已精修詳解,
M121 呼吸區段考,44,A,非圖片題,已精修詳解,
M121 呼吸區段考,45,A,非圖片題,已精修詳解,
M121 呼吸區段考,46,D,非圖片題,已精修詳解,
M121 呼吸區段考,47,D,非圖片題,已精修詳解,
M121 呼吸區段考,48,C,非圖片題,已精修詳解,
M121 呼吸區段考,49,C,非圖片題,已精修詳解,
M121 呼吸區段考,50,B,非圖片題,已精修詳解,
